date;open;low;high;close;vol
07.11.2017;1124.73999;1117.5;1130.599976;1123.170044;2689000
08.11.2017;1122.819946;1119.109985;1135.540039;1132.880005;2581500
09.11.2017;1125.959961;1115.77002;1129.619995;1129.130005;3732700
10.11.2017;1126.099976;1124.060059;1131.75;1125.349976;2179900
13.11.2017;1123;1122.339966;1139.900024;1129.170044;2918400
14.11.2017;1130.109985;1123.890015;1138;1136.839966;3138400
15.11.2017;1127.01001;1121.630005;1131.75;1126.689941;3928700
16.11.2017;1130.160034;1130.050049;1138.160034;1137.290039;2213300
17.11.2017;1138.280029;1125.810059;1138.800049;1129.880005;2413400
20.11.2017;1129.77002;1122.550049;1133.420044;1126.310059;2163900
21.11.2017;1132.859985;1128.199951;1140;1139.48999;2479400
22.11.2017;1141;1141;1160.27002;1156.160034;3555300
24.11.2017;1160.699951;1160.699951;1186.839966;1186;3528000
27.11.2017;1202.660034;1191.150024;1213.410034;1195.829956;6744000
28.11.2017;1204.880005;1188.52002;1205.339966;1193.599976;4559400
29.11.2017;1194.800049;1145.189941;1194.800049;1161.27002;9257500
30.11.2017;1167.099976;1160;1178.569946;1176.75;4509200
01.12.2017;1172.050049;1152;1179.650024;1162.349976;4107100
04.12.2017;1173.849976;1128;1175.199951;1133.949951;5931900
05.12.2017;1128.26001;1124.73999;1159.27002;1141.569946;4079800
06.12.2017;1137.98999;1136.079956;1155.890015;1152.349976;2853300
07.12.2017;1156.589966;1151;1163.189941;1159.790039;2511600
08.12.2017;1170.400024;1157.099976;1172.790039;1162;3050100
11.12.2017;1164.599976;1157;1169.900024;1168.920044;2363500
12.12.2017;1166.51001;1161.609985;1173.599976;1165.079956;2235900
13.12.2017;1170;1160.27002;1170.869995;1164.130005;2616800
14.12.2017;1163.709961;1162.449951;1177.930054;1174.26001;3214300
15.12.2017;1179.030029;1169.329956;1182.75;1179.140015;4778600
18.12.2017;1187.369995;1180.910034;1194.780029;1190.579956;2947600
19.12.2017;1189.150024;1179.140015;1192.969971;1187.380005;2587800
20.12.2017;1190.5;1176;1191;1177.619995;2371200
21.12.2017;1175.900024;1167.640015;1179.170044;1174.76001;2123100
22.12.2017;1172.079956;1167.829956;1174.619995;1168.359985;1585100
26.12.2017;1168.359985;1160.550049;1178.319946;1176.76001;2005200
27.12.2017;1179.910034;1175.609985;1187.290039;1182.26001;1867200
28.12.2017;1189;1184.380005;1190.099976;1186.099976;1841700
29.12.2017;1182.349976;1167.5;1184;1169.469971;2688400
02.01.2018;1172;1170.51001;1190;1189.01001;2694500
03.01.2018;1188.300049;1188.300049;1205.48999;1204.199951;3108800
04.01.2018;1205;1204.660034;1215.869995;1209.589966;3022100
05.01.2018;1217.51001;1210;1229.140015;1229.140015;3544700
